name,code,year,tpa,ab,h
이용찬,77211,2017,0,0,0
이재학,60263,2017,0,0,0
임창용,95657,2017,0,0,0
장시환,77318,2017,0,0,0
장필준,77927,2017,0,0,0
정우람,74857,2017,0,0,0
진해수,76650,2017,0,0,0
차우찬,76455,2017,0,0,0
최영필,97336,2017,0,0,0
하영민,64350,2017,0,0,0
한현희,62363,2017,0,0,0
허건엽,62892,2017,0,0,0
강윤구,79358,2018,0,0,0
고창성,78248,2018,0,0,0
구승민,63543,2018,0,0,0
김사율,99563,2018,0,0,0
김성민,67828,2018,0,0,0
김세현,76350,2018,0,0,0
김유신,68659,2018,0,0,0
김윤동,62648,2018,0,0,0
김재윤,65062,2018,0,0,0
김진성,75867,2018,0,0,0
노경은,73211,2018,0,0,0
박성모,68201,2018,0,0,0
박정배,75250,2018,0,0,0
박희수,76858,2018,0,0,0
변시원,62263,2018,0,0,0
브리검,67313,2018,0,0,0
손승락,75321,2018,0,0,0
송창식,74731,2018,0,0,0
신병률,68067,2018,0,0,0
신재웅,75138,2018,0,0,0
심동섭,60636,2018,0,0,0
안영명,73738,2018,0,0,0
엄상백,65056,2018,0,0,0
유원상,76757,2018,0,0,0
유재유,66160,2018,0,0,0
윤석민,75620,2018,0,0,0
윤성빈,67588,2018,0,0,0
윤희상,74838,2018,0,0,0
이동걸,77452,2018,0,0,0
이영하,66291,2018,0,0,0
이현승,76329,2018,0,0,0
임창용,95657,2018,0,0,0
장민재,79764,2018,0,0,0
장시환,77318,2018,0,0,0
장필준,77927,2018,0,0,0
정인욱,79440,2018,0,0,0
조상우,63342,2018,0,0,0
조정훈,75537,2018,0,0,0
진명호,79545,2018,0,0,0
강윤구,79358,2019,0,0,0
고우석,67119,2019,0,0,0
고효준,72523,2019,0,0,0
구승민,63543,2019,0,0,0
권오준,99445,2019,0,0,0
권혁,72447,2019,0,0,0
김건태,60339,2019,0,0,0
김경태,60757,2019,0,0,0
김세현,76350,2019,0,0,0
김승회,73248,2019,0,0,0
김종수,63765,2019,0,0,0
김진성,75867,2019,0,0,0
김태훈,79847,2019,0,0,0
